DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Jan-2026,EQ,"419.00","430.40","415.00","418.20","427.50","426.90","426.35","2,301.90","415.00","2,22,28,439","9,47,71,61,567.10","1,32,488"
16-Jan-2026,EQ,"424.00","427.60","417.10","421.00","418.70","418.20","421.36","2,301.90","417.10","1,79,93,251","7,58,16,32,499.60","1,32,472"
14-Jan-2026,EQ,"426.00","427.60","418.80","2,132.60","420.20","421.00","424.04","2,301.90","418.80","1,08,18,517","4,58,75,03,004.60","1,67,999"
13-Jan-2026,EQ,"2,126.90","2,144.40","2,120.00","2,133.30","2,132.00","2,132.60","2,131.24","2,301.90","1,723.75","25,43,530","5,42,08,62,060.00","82,745"
12-Jan-2026,EQ,"2,126.80","2,139.40","2,106.00","2,126.80","2,134.00","2,133.30","2,126.03","2,301.90","1,723.75","25,44,087","5,40,88,02,415.20","1,07,420"
09-Jan-2026,EQ,"2,133.00","2,133.00","2,116.00","2,133.00","2,127.90","2,126.80","2,123.61","2,301.90","1,723.75","20,63,923","4,38,29,73,655.20","64,212"
08-Jan-2026,EQ,"2,140.10","2,143.00","2,118.60","2,144.00","2,130.00","2,133.00","2,128.76","2,301.90","1,723.75","22,96,942","4,88,96,42,929.40","86,855"
07-Jan-2026,EQ,"2,146.40","2,150.50","2,109.20","2,146.40","2,146.00","2,144.00","2,130.92","2,301.90","1,723.75","21,12,263","4,50,10,71,136.10","88,758"
06-Jan-2026,EQ,"2,202.10","2,228.00","2,135.00","2,190.90","2,142.30","2,146.40","2,168.99","2,301.90","1,723.75","53,08,207","11,51,34,26,557.90","2,04,421"
05-Jan-2026,EQ,"2,196.90","2,206.70","2,182.00","2,195.10","2,192.30","2,190.90","2,193.78","2,301.90","1,723.75","21,82,849","4,78,86,84,707.60","97,726"
02-Jan-2026,EQ,"2,217.80","2,227.90","2,180.50","2,217.80","2,189.90","2,195.10","2,211.57","2,301.90","1,723.75","24,47,694","5,41,32,41,994.00","1,06,834"
