DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Jan-2026,EQ,"2,403.10","2,420.20","2,340.60","2,400.90","2,386.00","2,378.40","2,371.32","2,439.00","2,244.70","17,97,593","4,26,26,74,771.40","95,846"
27-Jan-2026,EQ,"2,412.00","2,421.60","2,380.50","2,409.50","2,403.00","2,400.90","2,401.47","2,439.00","2,244.70","20,60,117","4,94,73,16,186.60","96,373"
23-Jan-2026,EQ,"2,400.00","2,434.30","2,376.80","2,390.60","2,406.00","2,409.50","2,416.59","2,439.00","2,244.70","13,78,097","3,33,02,98,642.60","71,915"
22-Jan-2026,EQ,"2,368.90","2,402.00","2,365.70","2,368.00","2,396.10","2,390.60","2,381.03","2,439.00","2,244.70","17,45,964","4,15,71,88,194.20","79,675"
21-Jan-2026,EQ,"2,379.10","2,400.50","2,360.00","2,379.10","2,365.80","2,368.00","2,380.73","2,439.00","2,244.70","10,20,245","2,42,89,25,978.50","65,784"
20-Jan-2026,EQ,"2,423.00","2,439.00","2,368.50","2,413.90","2,382.00","2,379.10","2,411.71","2,439.00","2,244.70","14,60,806","3,52,30,37,470.20","95,533"
19-Jan-2026,EQ,"2,353.00","2,425.40","2,353.00","2,360.40","2,414.40","2,413.90","2,402.31","2,428.10","2,244.70","15,05,238","3,61,60,54,920.90","85,339"
16-Jan-2026,EQ,"2,370.00","2,372.90","2,348.90","2,353.50","2,361.80","2,360.40","2,360.23","2,428.10","2,244.70","13,67,606","3,22,78,70,480.30","64,501"
14-Jan-2026,EQ,"2,398.90","2,398.90","2,341.00","2,389.50","2,350.00","2,353.50","2,355.17","2,428.10","2,244.70","10,27,639","2,42,02,67,492.70","64,963"
13-Jan-2026,EQ,"2,415.10","2,422.20","2,365.00","2,406.20","2,389.50","2,389.50","2,385.94","2,428.10","2,244.70","15,19,683","3,62,58,72,484.00","68,250"
12-Jan-2026,EQ,"2,362.00","2,413.90","2,361.00","2,372.60","2,408.90","2,406.20","2,390.65","2,428.10","2,244.70","10,57,665","2,52,85,08,492.10","73,600"
09-Jan-2026,EQ,"2,382.00","2,386.00","2,361.00","2,386.70","2,369.20","2,372.60","2,373.49","2,428.10","2,244.70","11,89,464","2,82,31,78,061.30","61,161"
08-Jan-2026,EQ,"2,389.00","2,418.10","2,368.10","2,399.40","2,389.70","2,386.70","2,396.25","2,428.10","2,244.70","11,63,828","2,78,88,26,679.10","80,271"
07-Jan-2026,EQ,"2,416.00","2,421.90","2,382.00","2,424.70","2,390.00","2,399.40","2,402.49","2,428.10","2,244.70","8,92,690","2,14,46,77,262.60","56,790"
06-Jan-2026,EQ,"2,398.80","2,428.10","2,367.80","2,384.10","2,424.80","2,424.70","2,407.71","2,428.10","2,244.70","15,84,720","3,81,55,45,981.90","64,572"
05-Jan-2026,EQ,"2,341.50","2,394.00","2,336.40","2,348.00","2,385.50","2,384.10","2,378.38","2,422.00","2,244.70","13,44,113","3,19,68,09,605.50","63,047"
02-Jan-2026,EQ,"2,326.00","2,357.70","2,322.00","2,323.00","2,348.50","2,348.00","2,343.20","2,422.00","2,244.70","9,73,413","2,28,08,99,712.70","39,595"
01-Jan-2026,EQ,"2,322.00","2,326.00","2,300.00","2,315.90","2,323.00","2,323.00","2,312.95","2,422.00","2,244.70","7,58,866","1,75,52,19,784.90","39,091"
31-Dec-2025,EQ,"2,290.00","2,325.50","2,286.80","2,290.20","2,317.00","2,315.90","2,314.36","2,422.00","2,244.70","13,24,220","3,06,47,23,304.40","52,630"
30-Dec-2025,EQ,"2,293.30","2,298.00","2,283.00","2,293.30","2,290.00","2,290.20","2,290.49","2,422.00","2,244.70","15,56,717","3,56,56,47,742.90","71,285"
29-Dec-2025,EQ,"2,288.90","2,298.70","2,280.00","2,285.40","2,295.90","2,293.30","2,289.70","2,422.00","2,244.70","10,86,695","2,48,82,07,876.80","40,468"
26-Dec-2025,EQ,"2,282.30","2,290.00","2,275.00","2,282.20","2,288.00","2,285.40","2,283.65","2,422.00","2,244.70","5,33,626","1,21,86,16,715.40","33,805"
